state,allotment,pct,fy,program,base_total,hypothetical,account,total_earmarks,actual_total,difference,diff_as_pct,bar_color,state_abbr
Oklahoma,7177000,0.0145,FY23,DWSRF,1103040899,15994093.04,STAG— Drinking Water State Revolving Fund,32203281,39380281,23386187.96,1.462176562,Positive,OK
Oregon,7428000,0.015,FY23,DWSRF,1103040899,16545613.49,STAG— Drinking Water State Revolving Fund,20522000,27950000,11404386.52,0.689269487,Positive,OR
Pennsylvania,16290000,0.033,FY23,DWSRF,1103040899,36400349.67,STAG— Drinking Water State Revolving Fund,5040400,21330400,-15069949.67,-0.414005629,Negative,PA
Rhode Island,4938000,0.01,FY23,DWSRF,1103040899,11030408.99,STAG— Drinking Water State Revolving Fund,5.00E+06,9938000,-1092408.99,-0.099036127,Negative,RI
South Carolina,6172000,0.0125,FY23,DWSRF,1103040899,13788011.24,STAG— Drinking Water State Revolving Fund,9900000,16072000,2283988.763,0.165650341,Positive,SC
South Dakota,4937000,0.01,FY23,DWSRF,1103040899,11030408.99,NA,0,4937000,-6093408.99,-0.552419135,Negative,SD
Tennessee,8312000,0.0168,FY23,DWSRF,1103040899,18531087.1,STAG— Drinking Water State Revolving Fund,5800000,14112000,-4419087.103,-0.238468854,Negative,TN
Texas,39369000,0.0797,FY23,DWSRF,1103040899,87912359.65,STAG— Drinking Water State Revolving Fund,4500000,43869000,-44043359.65,-0.500991667,Negative,TX
Utah,4938000,0.01,FY23,DWSRF,1103040899,11030408.99,STAG— Drinking Water State Revolving Fund,11876640,16814640,5784231.01,0.524389532,Positive,UT
Vermont,4938000,0.01,FY23,DWSRF,1103040899,11030408.99,STAG— Drinking Water State Revolving Fund,3685000,8623000,-2407408.99,-0.218252015,Negative,VT
Virginia,6973000,0.0141,FY23,DWSRF,1103040899,15552876.68,STAG— Drinking Water State Revolving Fund,6452972,13425972,-2126904.676,-0.136753137,Negative,VA
Washington,11307000,0.0229,FY23,DWSRF,1103040899,25259636.59,STAG— Drinking Water State Revolving Fund,15167972,26474972,1215335.413,0.048113733,Positive,WA
West Virginia,4938000,0.01,FY23,DWSRF,1103040899,11030408.99,STAG— Drinking Water State Revolving Fund,29609438,34547438,23517029.01,2.132017864,Positive,WV
Wisconsin,8455000,0.0171,FY23,DWSRF,1103040899,18861999.37,STAG— Drinking Water State Revolving Fund,14452972,22907972,4045972.627,0.214503911,Positive,WI
Wyoming,4938000,0.01,FY23,DWSRF,1103040899,11030408.99,NA,0,4938000,-6092408.99,-0.552328476,Negative,WY
Alabama,8473000,0.01118198,FY23,CWSRF,1620845642,18124263.6,STAG—Clean Water State Revolving Fund,7.00E+06,15473000,-2651263.596,-0.146282556,Negative,AL
Alaska,4535000,0.005984926,FY23,CWSRF,1620845642,9700641.498,STAG—Clean Water State Revolving Fund,55520000,60055000,50354358.5,5.190827691,Positive,AK
Arizona,5118000,0.006754322,FY23,CWSRF,1620845642,10947714.04,STAG—Clean Water State Revolving Fund,12602350,17720350,6772635.957,0.618634715,Positive,AZ
Arkansas,4957000,0.006541848,FY23,CWSRF,1620845642,10603325.23,STAG—Clean Water State Revolving Fund,4660000,9617000,-986325.2268,-0.093020369,Negative,AR
California,54191000,0.071516898,FY23,CWSRF,1620845642,115917853,STAG—Clean Water State Revolving Fund,74948832,129139832,13221978.99,0.114063353,Positive,CA
Colorado,6061000,0.007998818,FY23,CWSRF,1620845642,12964848.54,STAG—Clean Water State Revolving Fund,2454000,8515000,-4449848.537,-0.343224105,Negative,CO
Connecticut,9282000,0.012249633,FY23,CWSRF,1620845642,19854763.92,STAG—Clean Water State Revolving Fund,9225000,18507000,-1347763.921,-0.067881136,Negative,CT
Delaware,3720000,0.004909355,FY23,CWSRF,1620845642,7957306.807,STAG—Clean Water State Revolving Fund,10560000,14280000,6322693.193,0.794577028,Positive,DE
Florida,25576000,0.033753136,FY23,CWSRF,1620845642,54708623.36,STAG—Clean Water State Revolving Fund,51772327,77348327,22639703.64,0.413823311,Positive,FL
Georgia,12811000,0.016906922,FY23,CWSRF,1620845642,27403510.08,STAG—Clean Water State Revolving Fund,29398290,42209290,14805779.92,0.540287718,Positive,GA
Hawaii,5868000,0.007744112,FY23,CWSRF,1620845642,12552009.77,STAG—Clean Water State Revolving Fund,4199000,10067000,-2485009.77,-0.197977042,Negative,HI
Idaho,3720000,0.004909355,FY23,CWSRF,1620845642,7957306.807,STAG—Clean Water State Revolving Fund,4560000,8280000,322693.1927,0.040553067,Positive,ID
Illinois,34269000,0.045225454,FY23,CWSRF,1620845642,73303480.37,STAG—Clean Water State Revolving Fund,22548296,56817296,-16486184.37,-0.22490316,Negative,IL
Indiana,18261000,0.024099391,FY23,CWSRF,1620845642,39061392.37,NA,0,18261000,-20800392.37,-0.532505144,Negative,IN
Iowa,10255000,0.013533719,FY23,CWSRF,1620845642,21936070.24,STAG—Clean Water State Revolving Fund,6.00E+06,16255000,-5681070.244,-0.258983044,Negative,IA
Kansas,6839000,0.009025559,FY23,CWSRF,1620845642,14629037.97,STAG—Clean Water State Revolving Fund,21100000,27939000,13309962.03,0.909831669,Positive,KS
Kentucky,9644000,0.012727371,FY23,CWSRF,1620845642,20629103.99,STAG—Clean Water State Revolving Fund,12899000,22543000,1913896.008,0.092776497,Positive,KY
Louisiana,8329000,0.01099194,FY23,CWSRF,1620845642,17816238.82,STAG—Clean Water State Revolving Fund,1.00E+07,18329000,512761.1833,0.028780552,Positive,LA
Maine,5865000,0.007740153,FY23,CWSRF,1620845642,12545592.59,STAG—Clean Water State Revolving Fund,25829453,31694453,19148860.41,1.526341644,Positive,ME
Maryland,18326000,0.024185172,FY23,CWSRF,1620845642,39200431.33,STAG—Clean Water State Revolving Fund,10818972,29144972,-10055459.33,-0.256513997,Negative,MD
Massachusetts,25726000,0.033951094,FY23,CWSRF,1620845642,55029482.51,STAG—Clean Water State Revolving Fund,19765800,45491800,-9537682.507,-0.173319502,Negative,MA
Michigan,32580000,0.042996449,FY23,CWSRF,1620845642,69690606.39,STAG—Clean Water State Revolving Fund,32925944,65505944,-4184662.393,-0.06004629,Negative,MI
Minnesota,13927000,0.018379728,FY23,CWSRF,1620845642,29790702.13,STAG—Clean Water State Revolving Fund,12380000,26307000,-3483702.125,-0.116939242,Negative,MN
Mississippi,6827000,0.009009722,FY23,CWSRF,1620845642,14603369.24,STAG—Clean Water State Revolving Fund,2.30E+07,29827000,15223630.76,1.042473864,Positive,MS
Missouri,21005000,0.0277207,FY23,CWSRF,1620845642,44930975.67,STAG—Clean Water State Revolving Fund,17401027,38406027,-6524948.669,-0.145221611,Negative,MO
Montana,3720000,0.004909355,FY23,CWSRF,1620845642,7957306.807,NA,0,3720000,-4237306.807,-0.532505144,Negative,MT
