"state","allotment","pct","fy","program","base_total","hypothetical","account","total_earmarks","state_abbr","actual_total","difference","diff_as_pct","bar_color"
"Illinois",14143000,0.0303,"FY24","DWSRF",1103833905,33446167.3215,"STAG—Drinking Water State Revolving Fund",26897471,"IL",41040471,7594303.6785,0.227060506081311,"Positive"
"Indiana",7997000,0.0172,"FY24","DWSRF",1103833905,18985943.166,"STAG—Drinking Water State Revolving Fund",959752,"IN",8956752,-10029191.166,-0.528242978413644,"Negative"
"Iowa",7007000,0.015,"FY24","DWSRF",1103833905,16557508.575,"STAG—Drinking Water State Revolving Fund",5500000,"IA",12507000,-4050508.575,-0.244632733037857,"Negative"
"Kansas",5198000,0.0112,"FY24","DWSRF",1103833905,12362939.736,"STAG—Drinking Water State Revolving Fund",2879256,"KS",8077256,-4285683.736,-0.346655716804992,"Negative"
"Kentucky",5674000,0.0122,"FY24","DWSRF",1103833905,13466773.641,"STAG—Drinking Water State Revolving Fund",15300000,"KY",20974000,7507226.359,0.557462875602514,"Positive"
"Louisiana",6363000,0.0137,"FY24","DWSRF",1103833905,15122524.4985,"STAG—Drinking Water State Revolving Fund",14518000,"LA",20881000,5758475.5015,0.380787976377303,"Positive"
"Maine",4661000,0.01,"FY24","DWSRF",1103833905,11038339.05,"STAG—Drinking Water State Revolving Fund",14547000,"ME",19208000,8169660.95,0.740116870209744,"Positive"
"Maryland",9683000,0.0208,"FY24","DWSRF",1103833905,22959745.224,"STAG—Drinking Water State Revolving Fund",6801172,"MD",16484172,-6475573.224,-0.282040290988553,"Negative"
"Massachusetts",10006000,0.0215,"FY24","DWSRF",1103833905,23732428.9575,"STAG—Drinking Water State Revolving Fund",16257613,"MA",26263613,2531184.0425,0.106655077195547,"Positive"
"Michigan",10634000,0.0228,"FY24","DWSRF",1103833905,25167413.034,"STAG—Drinking Water State Revolving Fund",24168264,"MI",34802264,9634850.966,0.382830406644647,"Positive"
"Minnesota",7050000,0.0151,"FY24","DWSRF",1103833905,16667891.9655,"STAG—Drinking Water State Revolving Fund",18180905,"MN",25230905,8563013.0345,0.513743012747151,"Positive"
"Mississippi",5837000,0.0125,"FY24","DWSRF",1103833905,13797923.8125,"STAG—Drinking Water State Revolving Fund",16122000,"MS",21959000,8161076.1875,0.591471318323022,"Positive"
"Missouri",7588000,0.0163,"FY24","DWSRF",1103833905,17992492.6515,"STAG—Drinking Water State Revolving Fund",1e+06,"MO",8588000,-9404492.6515,-0.522689814783165,"Negative"
"Montana",4661000,0.01,"FY24","DWSRF",1103833905,11038339.05,NA,0,"MT",4661000,-6377339.05,-0.577744443354456,"Negative"
