"","Agency","Account","State","Project","Amount","Senate_Requestor","Originiation","House_Requestor"
"991","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Village of Kiryas Joel for Water Treatment Facility Construction Project","1092000","","H","Ryan"
"992","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Village of Pinecrest for Storm Drainage Improvements","750000","","H","Salazar"
"993","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Village of Key Biscayne for Stormwater System Upgrade","2e+06","","H","Salazar"
"994","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Town of Cutler Bay for Drainage System Improvements","1e+06","","H","Salazar"
"995","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of South Miami for Septic-to-Sewer Project","1e+06","","H","Salazar"
"996","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OR","City of Dallas for LaCreole Node Sewer Project","1e+06","","H","Salinas"
"997","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OR","City of Newberg for Newberg Water Plant Covering Project","750000","","H","Salinas"
"998","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of La Habra for Foothill Zone Consolidation Water Project","1092000","","H","Sanchez"
"999","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Village of Algonquin for Sanitary Sewer Improvement Project","1092000","","H","Schakowsky"
"1000","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Village of Buffalo Grove for Mill Creek Subdivision Utility Resiliency Project","1092000","","H","Schakowsky"
"1001","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Village of Skokie for Storm Water Infrastructure Enhancement Project","1092000","","H","Schakowsky"
"1002","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Lake County Public Works for Water System Improvements","1092000","","H","Schakowsky"
"1003","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of Cary for Water System Resiliency and PFAS Mitigation Improvements Project","1092000","","H","Schakowsky"
"1004","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of Morton Grove for Lead Service Line Replacement Project","1092000","","H","Schakowsky"
"1005","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","KS","Leavenworth Waterworks for Water Treatment Plant Project","1250000","","H","Schmidt"
