"","Agency","Account","State","Project","Amount","Senate_Requestor","Originiation","House_Requestor"
"1068","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","Northern Township for Wastewater Project","750000","","H","Stauber"
"1069","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Coleraine for Water and Sewer System Upgrades","750000","","H","Stauber"
"1070","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Keewatin for Water and Sewer Improvement Project","750000","","H","Stauber"
"1071","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Pine City for Wastewater Treatment System Upgrade","750000","","H","Stauber"
"1072","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Mountain Iron for Water Main Loop Project","750000","","H","Stauber"
"1073","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Town of Richmondville for Wastewater Treatment Rehabilitation","1e+06","","H","Stefanik"
"1074","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Town of Lake Luzerne for Water Storage Tank Rehabilitation","1784000","","H","Stefanik"
"1075","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Village of Evans Mills for Wastewater Treatment Replacement","2e+06","","H","Stefanik"
"1076","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Village of Broadalbin for Storage Tank Replacement","2e+06","","H","Stefanik"
"1077","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Village of Port Leyden for Water Distribution System Improvements","2e+06","","H","Stefanik"
"1078","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Village of Hudson Falls for Water Main Replacement","2e+06","","H","Stefanik"
"1079","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Town of Herkimer for Wastewater System Upgrades","1594064","","H","Stefanik"
"1080","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Town of Longboat Key for Raw Wastewater Transmission Pipeline Project","1e+06","","H","Steube"
"1081","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Easterseals Southwest Florida for Stormwater Project","750000","","H","Steube"
"1082","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","City of Auburn Hills for Stormwater Infrastructure","723200","","H","Stevens"
"1083","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","City of Farmington for Community Sanitary System Improvements","1092000","","H","Stevens"
"1084","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","City of Berkley for Lead Water Service Line Replacements","1092000","","H","Stevens"
"1085","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","City of Ferndale for Lead Service Line Verifications","4e+05","","H","Stevens"
"1086","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","AL","Town of Rogersville for Elevated Water Storage Tank","1500000","","H","Strong"
"1087","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IN","Huntington City Water Utility for Water Main Replacements","1474360","","H","Stutzman"
"1088","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IN","Fort Wayne City Utilities for Water and Stormwater Improvement Project Phase I","2e+06","","H","Stutzman"
"1089","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","Upper Occoquan Service Authority for Wastewater Facility Improvement Project","1092000","","H","Subramanyam"
"1090","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","VA","Town of Hamilton for Well 15 Development Project","650000","","H","Subramanyam"
"1091","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","VA","Town of Lovettsville for Water Tower Installation Project","1092000","","H","Subramanyam"
"1092","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Hicksville Water District for AOP Treatment at Plant No. 11","1092000","","H","Suozzi"
"1093","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Port Washington Water Pollution Control District for Wastewater Pump Stations Upgrade","1092000","","H","Suozzi"
"1094","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Village of Manorhaven for Sanitary Sewer Channel Crossing Replacement","1092000","","H","Suozzi"
"1095","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Village of Roslyn for Sewer Pipe Inspection and Repair Project","864000","","H","Suozzi"
"1096","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Village of Sea Cliff for Sanitary Sewer Expansion Project","1092000","","H","Suozzi"
"1097","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Bethpage Water District for Treatment Upgrades for PFAS and VOC at Plant No. 5","1092000","","H","Suozzi"
"1098","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Port Washington Water District for Longview Booster Station Improvements","704000","","H","Suozzi"
"1099","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Village of Farmingdale for Water Treatment Project","1092000","","H","Suozzi"
"1100","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Village of Sands Point for Water Improvement Project","1092000","","H","Suozzi"
"1101","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Village of Williston Park for PFAS Treatment at Well 4","1092000","","H","Suozzi"
"1102","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Westbury Water District for Well 16 1 4–Dioxane Treatment/PFOS/PFOA Treatments","1092000","","H","Suozzi"
"1103","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","Alameda County Public Works for Livermore Sewer Extension to Protect Ground Water","1e+06","","H","Swalwell"
"1104","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","Oro Loma Sanitary District for Digester Seismic Retrofit Project","1092000","","H","Swalwell"
"1105","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","Summit County for Peninsula Sanitary Sewer Collection and Treatment Facilities","1092000","","H","Sykes"
"1106","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","City of Cuyahoga Falls for Water Treatment Plant Improvement Project","1092000","","H","Sykes"
"1107","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","Village of Silver Lake for Water Main Improvement Project","725223","","H","Sykes"
"1108","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","Elsinore Valley Municipal Water District for Clean Water/Wastewater Infrastructure Project","1092000","","H","Takano"
"1109","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Eastern Municipal Water District for Well 84D Water Quality Improvement Project","1092000","","H","Takano"
"1110","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Jurupa Community Services District for Well 29 Development","1092000","","H","Takano"
"1111","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Western Municipal Water District for Reservoir Management Systems","1092000","","H","Takano"
"1112","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","City of Wellston for Water Treatment Plant Construction Phase II","2e+06","","H","Taylor"
"1113","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","Brown County Rural Water Association for Water Tank Project","2e+06","","H","Taylor"
"1114","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","City of Logan for Water Treatment Plant and Water Tower Project","1250000","","H","Taylor"
"1115","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","Village of Winchester for Wastewater Treatment Plan Improvement Project","1250000","","H","Taylor"
"1116","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","Clinton County Board of Commissioners for Regional Wastewater Treatment Plant Project","949566","","H","Taylor"
"1117","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","Village of McArthur for Waterline Replacement Project Phase I","1e+06","","H","Taylor"
"1118","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","Village of Williamsburg for Sewer Extension Project","1e+06","","H","Taylor"
"1119","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Town of Phelps for Sanitary Sewer Distribution Project","1e+06","","H","Tenney"
"1120","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Village of Geneseo for Water and Sewer System Improvements","1e+06","","H","Tenney"
"1121","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Village of Waterloo for Sewer System Improvements and Wastewater Treatment Plant Upgrades","750000","","H","Tenney"
"1122","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Town of Throop for Water Supply Project","750000","","H","Tenney"
"1123","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Village of Mexico for Water System Improvements","750000","","H","Tenney"
"1124","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","Great Lakes Water Authority for 7 Mile Sewer Rehabilitation Project","1092000","","H","Thanedar"
"1125","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","Great Lakes Water Authority for Fox Creek Enclosure Condition Assessment","1092000","","H","Thanedar"
"1126","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","Great Lakes Water Authority for Freud and Conners Creek Pump Station Rehabilitation","1092000","","H","Thanedar"
"1127","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","Great Lakes Water Authority for Oakwood District Intercommunity Relief Sewer Modification","1092000","","H","Thanedar"
"1128","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","City of Allen Park for Allen Road Water Main Replacement Project","1092000","","H","Thanedar"
"1129","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","City of Wyandotte for Lead Service Line Replacement","1092000","","H","Thanedar"
"1130","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","Great Lakes Water Authority for Downriver Loop Water Main Construction","1092000","","H","Thanedar"
"1131","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Solano Irrigation District for Vaca Valley Public Water System Consolidation Phase I","1092000","","H","Thompson (CA)"
"1132","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","Borough of Ford City for Storm Sewer Rehabilitation","1940928","","H","Thompson (PA)"
"1133","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","Freeburg Borough for Sewer System Rehabilitation Project","750000","","H","Thompson (PA)"
"1134","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","SC","Commissioners of Public Works of the City of Greenville for Transfer Pump Station Project","1750000","","H","Timmons"
"1135","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","SC","MetroConnects for Sewer Replacement Project","1750000","","H","Timmons"
"1136","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NV","City of Boulder City for Wastewater Treatment Plant Upgrades","980000","","H","Titus"
"1137","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","Garden City for Water System Rehabilitation Project","1092000","","H","Tlaib"
"1138","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","City of Lathrup Village for Eldorado Water Main Replacement","880000","","H","Tlaib"
"1139","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","HI","Kauai County Department of Water Supply for Kilauea Water Tank Replacement Project","1092000","","H","Tokuda"
"1140","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","HI","Maui County for Lahaina Water Infrastructure Resiliency and Hardening","1092000","","H","Tokuda"
"1141","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Village of Altamont for Wastewater Treatment Plant Disinfection Improvements","1092000","","H","Tonko"
"1142","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Village of Menands for South End Neighborhood Water System Improvements","1092000","","H","Tonko"
"1143","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Town of Stillwater for Phase Three Water Main Replacements","1092000","","H","Tonko"
"1144","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of Chino Hills for Los Serranos Flood Protection Project","1092000","","H","Torres (CA)"
"1145","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of Upland for Campus Avenue Storm Drain Improvement Project","1092000","","H","Torres (CA)"
"1146","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","Inland Empire Utilities Agency for Chino Basin Advanced Water Purification Demonstration Facility","1092000","","H","Torres (CA)"
"1147","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of Chino for Benson Emergency Power Generator Project","1092000","","H","Torres (CA)"
"1148","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Monte Vista Water District for Pipeline Replacement Project","1092000","","H","Torres (CA)"
"1149","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","City of Lowell for Centralville Sewer Separation Project","1092000","","H","Trahan"
