"","Agency","Account","State","...4","Amount","Requestor"
"191","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CT","Naugatuck Valley Council of Governments for Kinneytown Water Sediment Removal",1093276,"DeLauro"
"192","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WA","City of Bellevue for Lake Washington Sanitary Sewer Lake Lines Program",5e+05,"DelBene"
"193","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WA","City of Bothell for Woodcrest Utility Replacement Project",1092000,"DelBene"
"194","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WA","City of Redmond for AC Water Main Replacement",1092000,"DelBene"
"195","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","Municipal Water Authority of Aliquippa for WWTP Final Clarifier Rehabilitation Project",9e+05,"Deluzio"
"196","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","Central Contra Costa Sanitary District for Ultraviolet (UV) Disinfection Replacement Project",1092000,"DeSaulnier"
"197","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OR","City of Gresham for Wastewater Treatment Nitrification Project",1092000,"Dexter"
"198","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OR","City of Portland for Wastewater Treatment Plant and Pump Reliability Project",1092000,"Dexter"
"199","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OR","City of Sandy for Wastewater Station Pipeline Project",1092000,"Dexter"
"200","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Town of Medley for Wastewater Pump Station Improvement Project",1200000,"Diaz-Balart"
"201","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","City of Rockwood for Wastewater Treatment Plant Infrastructure Improvement Plan",1092000,"Dingell"
"202","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","City of Trenton for Sewage Retention Basin Project",1092000,"Dingell"
"203","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","Multi Lakes Water and Sewer Authority for Pollution Prevention Project",580000,"Dingell"
"204","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","Ypsilanti Community Utilities Authority for Water Main Improvement Project",1092000,"Dingell"
