"","Agency","Account","State","...4","Amount","Requestor"
"451","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","City of Jamestown for Stormwater Channel Maintenance",1250000,"Langworthy"
"452","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","City of Olean for Water Filtration Plant Exterior Wall Reconstruction",1e+06,"Langworthy"
"453","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Town of Ellicott for Water Service Extension",1e+06,"Langworthy"
"454","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Town of Elma for Consolidated Wastewater Treatment Plant",1e+06,"Langworthy"
"455","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Town of Randolph for Sanitary Sewer System Improvements",1e+06,"Langworthy"
"456","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Town of Dix for Water and Sewer Service Extension",1e+06,"Langworthy"
"457","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CT","Southington Water Department for Wells 9 and 10 PFAS Treatment",1092000,"Larson"
"458","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Village of Bronxville for Stormwater Drainage Improvement",1092000,"Latimer"
"459","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Village of Hastings-on-Hudson for Stormwater Management Project",1092000,"Latimer"
"460","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","City of Yonkers for Water Main Replacement Under I–87",1092000,"Latimer"
"461","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","City of Elyria for Sewer Extension Project",2e+06,"Latta"
"462","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Village of Pleasantville for Water Tank Improvements",2250000,"Lawler"
"463","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Town of Carmel for Water Plant Improvements",1250000,"Lawler"
"464","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Town of Yorktown for Sewer Service Expansion",1250000,"Lawler"
"465","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Town of North Salem for Sewer Installation",1250000,"Lawler"
"466","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Village of Sleepy Hollow for Water Main Lining Project",983200,"Lawler"
"467","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Town of Ossining for Water Distribution System Upgrades",1e+06,"Lawler"
"468","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","FL","Pasco County for Booster Station Project",1e+06,"Lee (FL)"
"469","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","FL","Hillsborough County for Water Infrastructure Assessment",5e+05,"Lee (FL)"
"470","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","FL","City of Lakeland for Water Treatment Plant Upgrades",8e+05,"Lee (FL)"
"471","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NV","Clark County Water Reclamation District for Laughlin Lift Station No. 2 Replacement",1092000,"Lee (NV)"
"472","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","Municipality of Bethel Park for Piney Fork Interceptor Lining Project",520000,"Lee (PA)"
"473","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","PA","Monroeville Municipal Authority for Transite Water Line Replacements",1092000,"Lee (PA)"
"474","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","LA","City of Baton Rouge for Stormwater Quality Improvement Project",2e+06,"Letlow"
"475","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","LA","Town of Amite City for Regional Wastewater Treatment and Transmission Facilities Project",2e+06,"Letlow"
"476","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Montara Water and Sanitary District for Water and Sewer Line Relocation Project",1092000,"Liccardo"
"477","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of Beverly Hills for Water Main Replacement Project",1092000,"Lieu"
"478","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of Manhattan Beach for Cybersecurity of Critical Infrastructure Project",1040000,"Lieu"
"479","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of Watsonville for Pump Station Facilities Project",1092000,"Lofgren"
"480","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of San Juan Bautista for Drinking Water Supply Regionalization",1092000,"Lofgren"
"481","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","County of Monterey for San Lucas Water Treatment Project",1092000,"Lofgren"
"482","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OK","City of Woodward for Wastewater Plant Upgrades",1150000,"Lucas"
"483","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OK","City of Stillwater for Transmission Line Project",1e+06,"Lucas"
"484","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OK","City of Guymon for Water System Improvements",1150000,"Lucas"
"485","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OK","City of Enid for Solids Plant Relocation",850000,"Lucas"
"486","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of Clearwater for Stormwater Improvement Project",1750000,"Luna"
"487","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of Treasure Island for Wastewater Collection System Lining Project",1600000,"Luna"
"488","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Pinellas County Board of Commissioners for Pump Station Improvement Project",750000,"Luna"
"489","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","Harris County Flood Control District for West Little York Stormwater Detention Basin Project",1250000,"Luttrell"
"490","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","Harris County Flood Control District for Stormwater Detention Basin Project",750000,"Luttrell"
"491","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","RI","City of Cranston for Stormwater Management Project",1092000,"Magaziner"
"492","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","RI","Town of Westerly for Sewer Relining Project",680000,"Magaziner"
"493","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","UT","Big Plains Water Special Service District for Transmission Pipeline Project",2e+06,"Maloy"
"494","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","UT","Salt Lake County for Central Valley Water Treatment Facility Upgrades",1e+06,"Maloy"
"495","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","UT","Santa Clara City for Sewer Line Expansion",1250000,"Maloy"
"496","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","UT","Bountiful City for Water System Improvements",1750000,"Maloy"
"497","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","UT","Central Iron County Water Conservancy District for Effluent Reuse Project",1750000,"Maloy"
"498","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Town of Verona for Durhamville Sewer District Project",1092000,"Mannion"
"499","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Village of Elbridge for Water System Improvements Project",1092000,"Mannion"
"500","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Village of Minoa for Wastewater Treatment Plant Improvements",565000,"Mannion"
"501","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","City of Syracuse for Lead Service Line Replacements",1092000,"Mannion"
"502","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Onondaga County Water Authority for Lead Service Lines Replacement Project",1092000,"Mannion"
"503","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Town of Tully for Water Source Replacement and Transmission Project",1092000,"Mannion"
"504","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Village of Aurora for Water Treatment Plant and System Improvements",1092000,"Mannion"
"505","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of Port St. Lucie for Stormwater Quality Project",750000,"Mast"
"506","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","GA","City of South Fulton for Stormwater Improvement Project",1092000,"McBath"
"507","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","City of East Point for PFAS Treatment Facility Project",1092000,"McBath"
"508","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","City of Fairburn for Water Infrastructure Upgrades",1092000,"McBath"
"509","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","GA","City of East Point for Norman Berry Drive Stormwater Repairs",1092000,"McBath / Williams (GA)"
"510","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","City of College Park for Lead/Galvanized Water Pipeline Replacement",1092000,"McBath / Williams (GA)"
"511","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","DE","Town of Smyrna for Well and Water Treatment Plant Project",1092000,"McBride"
"512","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of Lago Vista for Wastewater Treatment and Collection System Expansion Project",750000,"McCaul"
"513","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of Bryan for Wastewater Treatment Plant Construction",1500000,"McCaul"
"514","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","City of College Station for Water and Wastewater Line Replacement Project",750000,"McCaul"
"515","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","City of Brown City for Sewer System Improvements",2e+06,"McClain (MI)"
"516","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","Village of Reese for Stormwater Mitigation Improvements",960000,"McClain (MI)"
"517","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","City of Bad Axe for Water Infrastructure Project",750000,"McClain (MI)"
"518","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","Charter Township of Chesterfield for Water Main Replacement",2e+06,"McClain (MI)"
"519","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","City of Harbor Beach for Transmission Main Improvements",2e+06,"McClain (MI)"
"520","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","Village of Millington for Water and Sewer Infrastructure Replacement",1e+06,"McClain (MI)"
"521","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","City of Imlay City for Lead Service Lines and Water Lines Replacement",1750000,"McClain (MI)"
"522","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","Charter Township of Fort Gratiot for Sewer System Upgrades",1e+06,"McClain (MI)"
"523","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","City of Sandusky for Water Infrastructure Improvements",925000,"McClain (MI)"
"524","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","Oakland County for Sanitary Sewer Extension Project",750000,"McClain (MI)"
"525","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","St. Clair Township for Sanitary Pump Station Rehabilitation",1220000,"McClain (MI)"
"526","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","Charter Township of Independence for Water Main Extension",1e+06,"McClain (MI)"
"527","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MD","Town of Oakland for Water System Improvements Project",1092000,"McClain Delaney"
"528","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","Charles City County for Sewer Collection System Modernization Project",1092000,"McClellan"
"529","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","City of Hopewell for Hopewell Heretick Avenue Stormwater Project",1092000,"McClellan"
"530","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","City of Petersburg for Poor Creek Rehabilitation",1092000,"McClellan"
"531","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","Surry County for Wastewater Improvements Phase 2",1092000,"McClellan"
"532","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","Town of Lawrenceville for Wastewater Treatment Facility Expansion Project",1092000,"McClellan"
"533","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","VA","City of Colonial Heights for Waterline Replacement Project",1092000,"McClellan"
"534","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","VA","Henrico County for White Oak Water System Extensions",1092000,"McClellan"
"535","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","VA","Prince George County for Beechwood Manor Asbestos Pipe Replacement",8e+05,"McClellan"
"536","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Gem Lake for Municipal Water Supply Project Phase 2",1092000,"McCollum"
"537","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Stillwater for PFAS Water Treatment Facility",1092000,"McCollum"
"538","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","City of Roswell for Water Storage and Redundancy Project",1e+06,"McCormick"
"539","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","Charter Township of Fenton for Water Line Replacement Project",1092000,"McDonald Rivet"
"540","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","City of Linden for Water Distribution System Modernization",1092000,"McDonald Rivet"
"541","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","City of Midland for Pump Station Emergency Power Generator Project",6e+05,"McDonald Rivet"
"542","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NC","Town of East Spencer for Water and Sewer Line Replacement Project",1250000,"McDowell"
"543","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NC","City of Greensboro for Water and Sewer Line Extension Project",1e+06,"McDowell"
"544","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KY","Louisville-Jefferson County Metropolitan Sewer District for Drainage Response Initiative",1e+06,"McGarvey"
"545","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KY","Louisville-Jefferson County Metropolitan Sewer District for Odor Mitigation and Catch Basin Rehabilitation",1092000,"McGarvey"
"546","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","KY","Louisville Water Company for Lead Service Line Replacement",1092000,"McGarvey"
"547","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","Town of Holliston for Downtown Sewer District Project",1092000,"McGovern"
"548","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","Leicester Water Supply District for Interconnection Project",950000,"McGovern"
"549","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","City of Orange Township for Water and Sewer Main Replacement",1092000,"McIver"
"550","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Township of West Orange for Pumping Station Improvement Project",1048000,"McIver"
"551","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NJ","City of Orange Township for Drinking Water Main Relocation Project",1092000,"McIver"
"552","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","North Hudson Sewerage Authority for Wastewater Treatment Plant Reconstruction",1092000,"Menendez"
"553","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Town of Guttenberg for CSO Pipe Improvement Project",1092000,"Menendez"
"554","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Township of North Bergen for Woodcliff Drainage Improvements and Sewer Rehabilitation",1092000,"Menendez"
"555","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NJ","City of Elizabeth for Lead Service Line Replacement Project",1e+06,"Menendez"
"556","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IN","Greene County for Water and Wastewater Expansion Project",2e+06,"Messmer"
"557","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","PA","Williamsport Municipal Water Authority for Transmission Water Line Replacement Project",1e+06,"Meuser"
"558","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","Cuyahoga County for Sewer Improvement Project",1250000,"Miller (OH)"
"559","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","City of Parma for Sewer Improvements",1e+06,"Miller (OH)"
"560","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WV","Town of West Hamlin for Water Treatment Plant Upgrades",1e+06,"Miller (WV)"
"561","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WV","Buffalo Creek Public Service District for Water Treatment Plant Upgrade and Expansion",1e+06,"Miller (WV)"
"562","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WV","City of Welch for Combined Sewer Overflow Removal Project",750000,"Miller (WV)"
"563","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WV","Boone County Public Service District for Water Improvement Project",750000,"Miller (WV)"
"564","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WV","City of Lewisburg for Water Main Replacements",750000,"Miller (WV)"
"565","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WV","Region 2 Planning and Development Council for Water Treatment Plant",750000,"Miller (WV)"
"566","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WV","North Beckley Public Service District for Wastewater Treatment Plant Improvements",750000,"Miller (WV)"
"567","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WV","Webster County for Water Line Extension",750000,"Miller (WV)"
"568","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IA","City of Knoxville for Sanitary and Storm Sewer Project",750000,"Miller-Meeks"
"569","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IA","City of Muscatine for Force Main Project",2e+06,"Miller-Meeks"
"570","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Seminole County for Septic-to-Sewer Project",1250000,"Mills"
"571","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of Oviedo for the Restoration of Sweetwater Creek",1280000,"Mills"
"572","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","FL","City of Winter Springs for Mt. Greenwood Water Main Replacement",1e+06,"Mills"
"573","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of Winter Springs for Winter Springs Village Reclaimed Water Main Extension",640000,"Mills"
"574","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","FL","City of Lake Helen for Watermains Replacement Project",750000,"Mills"
"575","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of Seal Beach for San Gabriel River Water Quality Improvement Project",1e+06,"Min"
"576","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of Seal Beach for Stormwater Infrastructure Project",1092000,"Min"
"577","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","The Charter Township of Caledonia for Water Trunkline Water System Project",2e+06,"Moolenaar"
"578","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","Lake Mitchell Sewer Authority for Sewer Pump Improvement Project",1500000,"Moolenaar"
"579","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","City of Cadillac for Water Distribution Project",1460000,"Moolenaar"
"580","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","City of Lowell for Water Treatment Plant Expansion Project",1250000,"Moolenaar"
"581","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","AL","City of Samson for Well Construction",1840000,"Moore (AL)"
"582","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","AL","City of Loxley for Water System Improvement Project",750000,"Moore (AL)"
"583","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NC","City of Gastonia for Regional Sewer Project",2e+06,"Moore (NC)"
"584","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NC","Town of Dallas for High Shoals/Dallas Water Interconnect Project",1250000,"Moore (NC)"
"585","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NC","City of Gastonia for Sewer Pump Station Project Phase I",825000,"Moore (NC)"
"586","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","UT","City of Clinton for Sewer Improvements and Expansion",2750000,"Moore (UT)"
"587","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","UT","Bear River Water Conservancy District for Water Infrastructure Improvement Project",2e+06,"Moore (UT)"
"588","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","UT","Weber Basin Water Conservancy District for Water Distribution Improvement Project",1160692,"Moore (UT)"
"589","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","UT","City of Logan for Water Reclamation Facility Project",1750000,"Moore (UT)"
"590","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WV","Clarksburg Water Board for Lead Line Replacement and Water Distribution System Improvements",2250000,"Moore (WV)"
"591","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WV","Tucker County Commission for Regional Sewer System Project",1500000,"Moore (WV)"
"592","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WV","City of Weston for Sewer Extension and Improvement Project",1500000,"Moore (WV)"
"593","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WV","City of Pennsboro for Waterline Extension Project",1e+06,"Moore (WV)"
"594","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Monroe County for Northwest Quadrant Water Resource Recovery Facility",1092000,"Morelle"
"595","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Town of Victor for County Road 9 Force Main Replacement",1002944,"Morelle"
"596","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Village of Brockport for Sanitary Sewer System Upgrade",1092000,"Morelle"
"597","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Monroe County Water Authority for System-wide Cybersecurity Modernization and Resiliency",1092000,"Morelle"
"598","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Bloomington for Booster Station Pump Replacement",1092000,"Morrison"
"599","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Minnetrista for Manganese Mitigation Project",1092000,"Morrison"
"600","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Mound for Water Treatment Plant Manganese Removal Project",1092000,"Morrison"
"601","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of Deerfield Beach for Martin Luther King Jr. Avenue Stormwater Project",1092000,"Moskowitz"
"602","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","FL","City of Coral Springs for Water Treatment Plant Upgrade",1092000,"Moskowitz"
"603","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","City of Gloucester for Pump Station Upgrades",1092000,"Moulton"
"604","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","Town of Marblehead for Sewer Infiltration and Inflow Reduction",807000,"Moulton"
"605","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","Town of Merrimac for Wastewater Treatment Plant Upgrades",1092000,"Moulton"
"606","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","Town of Nahant for Wastewater Infrastructure Upgrades",1092000,"Moulton"
"607","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","City of Newburyport for PFAS Water Filtration System",1092000,"Moulton"
"608","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","Town of Essex for Drinking Water System Improvements",1092000,"Moulton"
"609","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","Town of Hamilton for Hamilton-Wenham Regional Drinking Water Connection",1092000,"Moulton"
"610","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","Town of Ipswich for Drinking Water Infrastructure Upgrades",1092000,"Moulton"
"611","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","Town of Middleton for PFAS Mitigation Project",1092000,"Moulton"
"612","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","Town of Topsfield for Water Main Replacement",1092000,"Moulton"
"613","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of Daly City for Vista Grande Drainage Basin Improvement Project",1092000,"Mullin"
"614","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","City of Chicopee for Wastewater Treatment Plant Nitrogen Reduction Project",1092000,"Neal"
"615","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","City of Holyoke for River Terrace CSO Area 21B Sewer Separation",8e+05,"Neal"
"616","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","Town of Blandford for Water Treatment & Distribution System Upgrades",1092000,"Neal"
"617","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","West Brookfield Water Department for Leland Road Water Treatment Project",1092000,"Neal"
"618","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CO","Town of Granby for Water Infrastructure Project",1092000,"Neguse"
"619","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WA","City of Othello for Regional Water Supply Project",1e+06,"Newhouse"
"620","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WA","Town of Winthrop for Water Source and Distribution System Improvements",1500000,"Newhouse"
"621","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WA","City of Oroville for Water System Improvement Project",1400000,"Newhouse"
"622","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Township of Voorhees for Las Brisas Sewer Project",1092000,"Norcross"
"623","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NJ","Town of Maple Shade for Water Treatment Plant Replacement",1092000,"Norcross"
"624","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NJ","Township of Winslow for W. Factory Rd Water Storage Tank Rehabilitation",880000,"Norcross"
"625","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of Adelanto for Wastewater Treatment Plant Improvements",1e+06,"Obernolte"
"626","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of California City for Water System Replacement Project Phase II",1e+06,"Obernolte"
"627","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of Loma Linda for SCADA System Reliability Project",750000,"Obernolte"
"628","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","Hi-Desert Water District for Water Reuse Projects",750000,"Obernolte"
"629","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","San Bernardino County for Septic-to-Sewer Project",750000,"Obernolte"
"630","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MD","Town of New Windsor for Sewer System Improvements",5e+05,"Olszewski"
"631","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MD","City of Westminster for Advanced Water Purification System Project Phase 3",1092000,"Olszewski"
"632","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of New Hope for Sanitary Sewer Lining Project",1092000,"Omar"
"633","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Spring Lake Park for Stormwater Resiliency Project",896000,"Omar"
"634","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Richfield for Emergency Water Interconnect Project",1092000,"Omar"
"635","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","UT","Granger-Hunter Improvement District for Water Main Replacement Project",1e+06,"Owens"
"636","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","UT","City of Riverton for Waterline Replacement Project",750000,"Owens"
"637","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","UT","Murray City Corporation for Drinking Water Well",750000,"Owens"
"638","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","UT","City of Bluffdale for Storage Tank Construction",750000,"Owens"
"639","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","City of Asbury Park for Wastewater Treatment Plant Screenings Project",1092000,"Pallone"
"640","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","City of Perth Amboy for Runyon Water Treatment Plant Improvements",1092000,"Pallone"
"641","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NJ","Borough of Matawan for Lead Pipes Removal",1e+06,"Pallone"
"642","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NJ","Borough of Red Bank for Lead Service Line Replacement Program",1e+06,"Pallone"
"643","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NH","City of Manchester for MS4 Drainage Improvements",1092000,"Pappas"
"644","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NH","City of Rochester for Wastewater Lagoon Desludge Phase II",1092000,"Pappas"
"645","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NH","Town of Newmarket for Sewer Reliability Improvements Project",1092000,"Pappas"
"646","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WA","City of Vancouver for Wastewater Lagoon Aeration Blower Upgrade",1092000,"Perez"
"647","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WA","Clark Regional Wastewater District for Wallace Heights Septic Elimination Project",1092000,"Perez"
