"state","allotment","pct","fy","program","fy25_allotment","base_total","hypothetical","account","total_earmarks","state_abbr","actual_total","difference","diff_as_pct","bar_color"
"Arizona",5118000,0.00675432241001825,"FY23","CWSRF",10824000,1620845642,10947714.042941,"STAG—Clean Water State Revolving Fund",12602350,"AZ",17720350,6772635.95705898,0.618634715018512,"Positive"
"Arkansas",4957000,0.00654184763314976,"FY23","CWSRF",10483000,1620845642,10603325.2268188,"STAG—Clean Water State Revolving Fund",4660000,"AR",9617000,-986325.226818804,-0.0930203691502463,"Negative"
"California",54191000,0.0715168983433566,"FY23","CWSRF",114614000,1620845642,115917853.009187,"STAG—Clean Water State Revolving Fund",74948832,"CA",129139832,13221978.9908134,0.114063353034718,"Positive"
"Colorado",6061000,0.00799881753167656,"FY23","CWSRF",12819000,1620845642,12964848.5373711,"STAG—Clean Water State Revolving Fund",2454000,"CO",8515000,-4449848.53737115,-0.343224105128916,"Negative"
"Connecticut",9282000,0.0122496327881574,"FY23","CWSRF",19632000,1620845642,19854763.9207852,"STAG—Clean Water State Revolving Fund",9225000,"CT",18507000,-1347763.92078518,-0.0678811355381697,"Negative"
"Delaware",3720000,0.00490935509286204,"FY23","CWSRF",7867000,1620845642,7957306.80729594,"STAG—Clean Water State Revolving Fund",10560000,"DE",14280000,6322693.19270406,0.794577027859084,"Positive"
"Florida",25576000,0.0337531359825375,"FY23","CWSRF",54094000,1620845642,54708623.3611293,"STAG—Clean Water State Revolving Fund",51772327,"FL",77348327,22639703.6388707,0.413823310621929,"Positive"
"Georgia",12811000,0.0169069215308214,"FY23","CWSRF",27095000,1620845642,27403510.0828678,"STAG—Clean Water State Revolving Fund",29398290,"GA",42209290,14805779.9171322,0.540287717608428,"Positive"
"Hawaii",5868000,0.00774411174325657,"FY23","CWSRF",12412000,1620845642,12552009.7702184,"STAG—Clean Water State Revolving Fund",4199000,"HI",10067000,-2485009.77021843,-0.197977042378862,"Negative"
"Idaho",3720000,0.00490935509286204,"FY23","CWSRF",7867000,1620845642,7957306.80729594,"STAG—Clean Water State Revolving Fund",4560000,"ID",8280000,322693.192704065,0.0405530665737549,"Positive"
"Illinois",34269000,0.045225454214325,"FY23","CWSRF",72478000,1620845642,73303480.3707592,"STAG—Clean Water State Revolving Fund",22548296,"IL",56817296,-16486184.3707592,-0.224903159950582,"Negative"
"Indiana",18261000,0.0240993906856865,"FY23","CWSRF",38621000,1620845642,39061392.3677503,NA,0,"IN",18261000,-20800392.3677503,-0.532505144003096,"Negative"
"Iowa",10255000,0.0135337194831452,"FY23","CWSRF",21689000,1620845642,21936070.2443064,"STAG—Clean Water State Revolving Fund",6e+06,"IA",16255000,-5681070.2443064,-0.25898304395615,"Negative"
"Kansas",6839000,0.00902555900002244,"FY23","CWSRF",14465000,1620845642,14629037.9718002,"STAG—Clean Water State Revolving Fund",21100000,"KS",27939000,13309962.0281998,0.909831668620779,"Positive"
"Kentucky",9644000,0.0127273711063337,"FY23","CWSRF",20396000,1620845642,20629103.9918177,"STAG—Clean Water State Revolving Fund",12899000,"KY",22543000,1913896.00818226,0.0927764971731869,"Positive"
"Louisiana",8329000,0.0109919404753892,"FY23","CWSRF",17617000,1620845642,17816238.816658,"STAG—Clean Water State Revolving Fund",1e+07,"LA",18329000,512761.183341976,0.0287805517549837,"Positive"
"Maine",5865000,0.00774015258592361,"FY23","CWSRF",12405000,1620845642,12545592.5873093,"STAG—Clean Water State Revolving Fund",25829453,"ME",31694453,19148860.4126907,1.5263416438424,"Positive"
"Maryland",18326000,0.0241851724279004,"FY23","CWSRF",38759000,1620845642,39200431.330781,"STAG—Clean Water State Revolving Fund",10818972,"MD",29144972,-10055459.330781,-0.256513997153017,"Negative"
"Massachusetts",25726000,0.0339510938491851,"FY23","CWSRF",54410000,1620845642,55029482.5065847,"STAG—Clean Water State Revolving Fund",19765800,"MA",45491800,-9537682.50658474,-0.173319502058619,"Negative"
"Michigan",32580000,0.0429964486358723,"FY23","CWSRF",68906000,1620845642,69690606.3929305,"STAG—Clean Water State Revolving Fund",32925944,"MI",65505944,-4184662.39293052,-0.0600462904474744,"Negative"
"Minnesota",13927000,0.01837972805868,"FY23","CWSRF",29455000,1620845642,29790702.1250566,"STAG—Clean Water State Revolving Fund",12380000,"MN",26307000,-3483702.12505658,-0.1169392419968,"Negative"
"Mississippi",6827000,0.00900972237069062,"FY23","CWSRF",14438000,1620845642,14603369.2401638,"STAG—Clean Water State Revolving Fund",2.3e+07,"MS",29827000,15223630.7598362,1.04247386404272,"Positive"
"Missouri",21005000,0.0277206999262277,"FY23","CWSRF",44425000,1620845642,44930975.6686159,"STAG—Clean Water State Revolving Fund",17401027,"MO",38406027,-6524948.66861589,-0.145221610960332,"Negative"
"Montana",3720000,0.00490935509286204,"FY23","CWSRF",7867000,1620845642,7957306.80729594,NA,0,"MT",3720000,-4237306.80729594,-0.532505144003096,"Negative"
"Nebraska",3876000,0.0051152312741756,"FY23","CWSRF",8197000,1620845642,8291000.31856964,NA,0,"NE",3876000,-4415000.31856964,-0.532505144003096,"Negative"
"Nevada",3720000,0.00490935509286204,"FY23","CWSRF",7867000,1620845642,7957306.80729594,"STAG—Clean Water State Revolving Fund",18269600,"NV",21989600,14032293.1927041,1.76344754984665,"Positive"
"New Hampshire",7572000,0.00999291310837401,"FY23","CWSRF",16015000,1620845642,16196969.6625927,"STAG—Clean Water State Revolving Fund",9935000,"NH",17507000,1310030.33740731,0.0808811996748289,"Positive"
"New Jersey",30963000,0.0408624628334105,"FY23","CWSRF",65487000,1620845642,66231744.8049204,"STAG—Clean Water State Revolving Fund",28126818,"NJ",59089818,-7141926.80492044,-0.107832381978707,"Negative"
"New Mexico",3720000,0.00490935509286204,"FY23","CWSRF",7867000,1620845642,7957306.80729594,"STAG—Clean Water State Revolving Fund",13952000,"NM",17672000,9714693.19270406,1.22085190730572,"Positive"
"New York",83628000,0.110365469813405,"FY23","CWSRF",176887000,1620845642,178885390.77434,"STAG—Clean Water State Revolving Fund",63646193,"NY",147274193,-31611197.7743399,-0.176712014533466,"Negative"
"North Carolina",13675000,0.0180471588427119,"FY23","CWSRF",28922000,1620845642,29251658.7606914,"STAG—Clean Water State Revolving Fund",17285839,"NC",30960839,1709180.23930863,0.0584301988920176,"Positive"
"North Dakota",3720000,0.00490935509286204,"FY23","CWSRF",7867000,1620845642,7957306.80729594,NA,0,"ND",3720000,-4237306.80729594,-0.532505144003096,"Negative"
"Ohio",42656000,0.0562939383981513,"FY23","CWSRF",90217000,1620845642,91243784.7236601,"STAG—Clean Water State Revolving Fund",36334946,"OH",78990946,-12252838.7236601,-0.134286831270413,"Negative"
"Oklahoma",6122000,0.00807932039744661,"FY23","CWSRF",12947000,1620845642,13095331.256523,"STAG—Clean Water State Revolving Fund",10936000,"OK",17058000,3962668.74347696,0.302601642207644,"Positive"
"Oregon",8559000,0.0112954758709156,"FY23","CWSRF",18103000,1620845642,18308222.8396898,"STAG—Clean Water State Revolving Fund",15952950,"OR",24511950,6203727.16031024,0.338849227182302,"Positive"
"Pennsylvania",30014000,0.0396100493970863,"FY23","CWSRF",63479000,1620845642,64201775.9446721,"STAG—Clean Water State Revolving Fund",28517287,"PA",58531287,-5670488.94467209,-0.0883229297201812,"Negative"
"Puerto Rico",9883000,0.013042783973859,"FY23","CWSRF",NA,1620845642,21140339.5635768,NA,0,NA,9883000,-11257339.5635768,-0.532505144003096,"Negative"
"Rhode Island",5088000,0.00671473083668872,"FY23","CWSRF",10761000,1620845642,10883542.2138499,"STAG—Clean Water State Revolving Fund",10828000,"RI",15916000,5032457.78615008,0.462391534600379,"Positive"
"South Carolina",7762000,0.0102436597394611,"FY23","CWSRF",16417000,1620845642,16603391.2468363,"STAG—Clean Water State Revolving Fund",19523000,"SC",27285000,10681608.7531637,0.643338977824727,"Positive"
"South Dakota",3720000,0.00490935509286204,"FY23","CWSRF",7867000,1620845642,7957306.80729594,NA,0,"SD",3720000,-4237306.80729594,-0.532505144003096,"Negative"
"Tennessee",11007000,0.0145261482546055,"FY23","CWSRF",23280000,1620845642,23544644.0935232,"STAG—Clean Water State Revolving Fund",4122800,"TN",15129800,-8414844.09352322,-0.357399502838016,"Negative"
"Texas",34632000,0.0457045122516124,"FY23","CWSRF",73246000,1620845642,74079959.5027615,"STAG—Clean Water State Revolving Fund",36401584,"TX",71033584,-3046375.50276151,-0.0411228019454837,"Negative"
"Utah",3992000,0.0052683186910498,"FY23","CWSRF",8444000,1620845642,8539131.39105521,"STAG—Clean Water State Revolving Fund",12500000,"UT",16492000,7952868.60894479,0.931343979233704,"Positive"
"Vermont",3720000,0.00490935509286204,"FY23","CWSRF",7867000,1620845642,7957306.80729594,"STAG—Clean Water State Revolving Fund",1920000,"VT",5640000,-2317306.80729594,-0.29121747639179,"Negative"
"Virginia",15507000,0.0204648842540354,"FY23","CWSRF",32797000,1620845642,33170418.4571877,"STAG—Clean Water State Revolving Fund",6760000,"VA",22267000,-10903418.4571877,-0.328709101793831,"Negative"
"Washington",13177000,0.0173899387254417,"FY23","CWSRF",27869000,1620845642,28186406.3977792,"STAG—Clean Water State Revolving Fund",16054632,"WA",29231632,1045225.60222083,0.0370826130678077,"Positive"
"West Virginia",11812000,0.0155885221389479,"FY23","CWSRF",24982000,1620845642,25266588.1741343,"STAG—Clean Water State Revolving Fund",25139000,"WV",36951000,11684411.8258657,0.462445176425805,"Positive"
"Wisconsin",20484000,0.0270331262694048,"FY23","CWSRF",43324000,1620845642,43816524.9034005,"STAG—Clean Water State Revolving Fund",4423400,"WI",24907400,-18909124.9034005,-0.431552363978847,"Negative"
"Wyoming",3720000,0.00490935509286204,"FY23","CWSRF",7867000,1620845642,7957306.80729594,NA,0,"WY",3720000,-4237306.80729594,-0.532505144003096,"Negative"
"Alabama",8229000,0.0177,"FY24","DWSRF",19257000,1103833905,19537860.1185,"STAG—Drinking Water State Revolving Fund",14778752,"AL",23007752,3469891.8815,0.177598358287683,"Positive"
"Alaska",4661000,0.01,"FY24","DWSRF",10906000,1103833905,11038339.05,"STAG—Drinking Water State Revolving Fund",23200000,"AK",27861000,16822660.95,1.52402103919792,"Positive"
"Arizona",8153000,0.0175,"FY24","DWSRF",19079000,1103833905,19317093.3375,"STAG—Drinking Water State Revolving Fund",16948760,"AZ",25101760,5784666.6625,0.299458441362413,"Positive"
"Arkansas",5580000,0.012,"FY24","DWSRF",13058000,1103833905,13246006.86,"STAG—Drinking Water State Revolving Fund",1.3e+07,"AR",18580000,5333993.14,0.402686877364338,"Positive"
"California",50283000,0.1079,"FY24","DWSRF",117662000,1103833905,119103678.3495,"STAG—Drinking Water State Revolving Fund",55114604,"CA",105397604,-13706074.3495,-0.115076835068692,"Negative"
"Colorado",8164000,0.0175,"FY24","DWSRF",19105000,1103833905,19317093.3375,"STAG—Drinking Water State Revolving Fund",15024264,"CO",23188264,3871170.6625,0.20040130235251,"Positive"
"Connecticut",4661000,0.01,"FY24","DWSRF",10906000,1103833905,11038339.05,"STAG—Drinking Water State Revolving Fund",5159509,"CT",9820509,-1217830.05,-0.110327291495907,"Negative"
"Delaware",4661000,0.01,"FY24","DWSRF",10906000,1103833905,11038339.05,NA,0,"DE",4661000,-6377339.05,-0.577744443354456,"Negative"
"Florida",16819000,0.0361,"FY24","DWSRF",39357000,1103833905,39848403.9705,"STAG—Drinking Water State Revolving Fund",15615452,"FL",32434452,-7413951.9705,-0.186053925170719,"Negative"
"Georgia",12637000,0.0271,"FY24","DWSRF",29571000,1103833905,29913898.8255,"STAG—Drinking Water State Revolving Fund",8992781,"GA",21629781,-8284117.8255,-0.276932066723387,"Negative"
"Hawaii",4661000,0.01,"FY24","DWSRF",10906000,1103833905,11038339.05,"STAG—Drinking Water State Revolving Fund",6805302,"HI",11466302,427962.949999999,0.0387705929362624,"Positive"
"Idaho",4661000,0.01,"FY24","DWSRF",10906000,1103833905,11038339.05,"STAG—Drinking Water State Revolving Fund",5500000,"ID",10161000,-877339.050000001,-0.0794810746459179,"Negative"
"Illinois",14143000,0.0303,"FY24","DWSRF",33096000,1103833905,33446167.3215,"STAG—Drinking Water State Revolving Fund",26897471,"IL",41040471,7594303.6785,0.227060506081311,"Positive"
"Indiana",7997000,0.0172,"FY24","DWSRF",18713000,1103833905,18985943.166,"STAG—Drinking Water State Revolving Fund",959752,"IN",8956752,-10029191.166,-0.528242978413644,"Negative"
"Iowa",7007000,0.015,"FY24","DWSRF",16397000,1103833905,16557508.575,"STAG—Drinking Water State Revolving Fund",5500000,"IA",12507000,-4050508.575,-0.244632733037857,"Negative"
"Kansas",5198000,0.0112,"FY24","DWSRF",12163000,1103833905,12362939.736,"STAG—Drinking Water State Revolving Fund",2879256,"KS",8077256,-4285683.736,-0.346655716804992,"Negative"
"Kentucky",5674000,0.0122,"FY24","DWSRF",13277000,1103833905,13466773.641,"STAG—Drinking Water State Revolving Fund",15300000,"KY",20974000,7507226.359,0.557462875602514,"Positive"
"Louisiana",6363000,0.0137,"FY24","DWSRF",14889000,1103833905,15122524.4985,"STAG—Drinking Water State Revolving Fund",14518000,"LA",20881000,5758475.5015,0.380787976377303,"Positive"
"Maine",4661000,0.01,"FY24","DWSRF",10906000,1103833905,11038339.05,"STAG—Drinking Water State Revolving Fund",14547000,"ME",19208000,8169660.95,0.740116870209744,"Positive"
"Maryland",9683000,0.0208,"FY24","DWSRF",22660000,1103833905,22959745.224,"STAG—Drinking Water State Revolving Fund",6801172,"MD",16484172,-6475573.224,-0.282040290988553,"Negative"
"Massachusetts",10006000,0.0215,"FY24","DWSRF",23415000,1103833905,23732428.9575,"STAG—Drinking Water State Revolving Fund",16257613,"MA",26263613,2531184.0425,0.106655077195547,"Positive"
"Michigan",10634000,0.0228,"FY24","DWSRF",24884000,1103833905,25167413.034,"STAG—Drinking Water State Revolving Fund",24168264,"MI",34802264,9634850.966,0.382830406644647,"Positive"
"Minnesota",7050000,0.0151,"FY24","DWSRF",16497000,1103833905,16667891.9655,"STAG—Drinking Water State Revolving Fund",18180905,"MN",25230905,8563013.0345,0.513743012747151,"Positive"
